Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
..\data rocks\IMG\robocam_2017_05_28_15_42_22_983.jpg,-15,0,0,0,99.66999,85.58897,0.000272597,312.3798,1.40E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_23_050.jpg,-11.99412,0,0,0,99.66999,85.58897,0.000277226,310.0416,1.02E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_23_116.jpg,-8.988436,0,0,0,99.66999,85.589,0.000284021,307.7048,2.82E-06
..\data rocks\IMG\robocam_2017_05_28_15_42_23_183.jpg,-5.978869,0,0,0,99.66999,85.589,0.000288098,306.5379,-4.61E-06
..\data rocks\IMG\robocam_2017_05_28_15_42_23_250.jpg,-2.97857,0,0,0,99.66999,85.589,0.000289206,305.8214,-1.33E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_23_317.jpg,0,0,0,0,99.66999,85.589,0.000290241,305.6449,-2.58E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_23_384.jpg,1.502025,0,0,0,99.66999,85.589,0.000288874,305.8251,-3.62E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_23_450.jpg,4.503272,0,0,0,99.66999,85.589,0.000286125,306.4561,-4.73E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_23_518.jpg,7.515841,0,0,0,99.66999,85.589,0.000279236,308.0792,-6.04E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_23_584.jpg,10.52308,0,0,0,99.66999,85.589,0.000274053,309.8828,-7.17E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_23_650.jpg,13.52006,0,0,0,99.66999,85.589,0.000266251,312.1371,-8.04E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_23_718.jpg,15,0,0,0,99.66999,85.589,0.000255853,315.7371,-9.15E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_23_785.jpg,15,0,0,0,99.66999,85.589,0.000248381,318.437,-9.53E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_23_851.jpg,15,0,0,0,99.66999,85.589,0.000240758,321.137,-9.79E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_23_918.jpg,15,0,0,0,99.66999,85.58902,0.000231557,324.7369,-9.64E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_23_985.jpg,15,0,0,0,99.66999,85.58902,0.000228136,327.437,-9.07E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_24_051.jpg,15,0,0,0,99.66999,85.58902,0.000226799,330.1369,-8.45E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_24_118.jpg,15,0,0,0,99.66999,85.58902,0.000225852,333.7368,-7.49E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_24_185.jpg,15,0,0,0,99.66999,85.58902,0.000226422,336.4368,-6.68E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_24_252.jpg,15,0,0,0,99.66999,85.58902,0.000227876,339.1367,-5.94E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_24_319.jpg,15,0,0,0,99.66999,85.58902,0.000232749,342.7367,-4.73E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_24_385.jpg,15,0,0,0,99.67,85.58902,0.000235784,345.4367,-3.83E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_24_452.jpg,15,0,0,0,99.67001,85.58902,0.000238193,348.1367,-3.08E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_24_519.jpg,15,0,0,0,99.67001,85.58902,0.000244199,351.7368,-2.00E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_24_586.jpg,15,0,0,0,99.67001,85.58902,0.000250121,354.4368,-1.26E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_24_652.jpg,15,0,0,0,99.67001,85.58902,0.00025626,357.1368,-5.30E-06
..\data rocks\IMG\robocam_2017_05_28_15_42_24_719.jpg,15,0,0,0,99.67001,85.58902,0.000265269,0.7368011,1.39E-06
..\data rocks\IMG\robocam_2017_05_28_15_42_24_787.jpg,15,0,0,0,99.67001,85.58902,0.000271824,3.436783,4.43E-06
..\data rocks\IMG\robocam_2017_05_28_15_42_24_853.jpg,15,0,0,0,99.67001,85.58902,0.00027979,7.036797,7.91E-06
..\data rocks\IMG\robocam_2017_05_28_15_42_24_920.jpg,15,0,0,0,99.67001,85.58902,0.000284944,9.736778,1.00E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_24_987.jpg,15,0,0,0,99.67001,85.58902,0.000290359,12.4368,1.18E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_25_054.jpg,15,0,0,0,99.67001,85.58902,0.00029655,16.03684,1.38E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_25_120.jpg,15,0,0,0,99.67001,85.58902,0.000300559,18.73689,1.40E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_25_187.jpg,15,0,0,0,99.67001,85.58902,0.000304016,21.43695,1.30E-05
..\data rocks\IMG\robocam_2017_05_28_15_42_25_254.jpg,11.99205,0.2005298,0,0,99.67103,85.58949,0.02486495,21.39323,0.001266677
..\data rocks\IMG\robocam_2017_05_28_15_42_25_321.jpg,8.990372,0.4006419,0,0.0151875,99.67276,85.59021,0.06345254,21.34507,0.001972292
..\data rocks\IMG\robocam_2017_05_28_15_42_25_387.jpg,5.982647,0.6011568,0,0.03422988,99.67672,85.5921,0.1519855,21.35718,0.008595903
